Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
26,b7C0hMZ9,27/05/2024,15:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Taawon,Al Ettifaq,ROUND 34,1.91,3.5,3.7,1.38,3.0,1.05,8.5,1.24,3.8,1.7,2.1,1.62,2.15,1.95,1.85,1.28,3.55,13.0,13.0,21.0,41.0,9.0,7.0,13.0,29.0,10.0,9.0,13.0,34.0,17.0,15.0,23.0,41.0,151.0
27,CAxz7Ll3,27/05/2024,15:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Ahli SC,Al Feiha,ROUND 34,1.42,5.0,5.75,1.26,3.6,1.03,10.75,1.15,5.0,1.44,2.63,1.65,2.12,1.43,2.75,1.14,5.75,21.0,21.0,34.0,67.0,10.0,10.0,19.0,41.0,9.0,9.0,17.0,41.0,11.0,11.0,21.0,41.0,151.0
28,hUB4itkG,27/05/2024,15:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Hazem,Abha,ROUND 34,4.5,4.33,1.57,1.29,3.45,1.03,10.25,1.17,4.7,1.5,2.5,1.6,2.2,4.4,1.2,2.3,1.6,17.0,10.0,9.5,13.0,19.0,9.0,8.5,12.0,29.0,15.0,15.0,21.0,51.0,34.0,34.0,41.0,126.0
29,Kvdqpbsj,27/05/2024,15:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Khaleej,Al Riyadh,ROUND 34,4.5,3.9,1.7,1.39,2.95,1.05,8.5,1.26,3.65,1.75,2.05,1.75,1.95,4.25,1.21,2.15,1.68,12.0,8.0,8.5,13.0,15.0,7.5,8.5,13.0,23.0,15.0,15.0,23.0,51.0,34.0,41.0,51.0,600.0
30,ld5DkKJS,27/05/2024,15:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Shabab,Al Fateh,ROUND 34,1.6,3.9,5.25,1.3,3.3,1.03,10.0,1.17,4.6,1.53,2.38,1.55,2.3,1.63,2.25,1.18,4.8,17.0,19.0,29.0,51.0,10.0,8.0,17.0,34.0,9.5,8.5,13.0,34.0,13.0,12.0,21.0,41.0,126.0
31,UBjWdVpR,27/05/2024,15:30,GERMANY - BUNDESLIGA,Dusseldorf,Bochum,RELEGATION ,2.2,3.4,3.25,1.33,3.25,1.04,13.0,1.22,4.0,1.75,2.05,1.62,2.2,2.15,1.68,1.35,3.1,12.0,12.0,19.0,29.0,9.5,6.5,12.0,23.0,12.0,9.0,12.0,29.0,21.0,17.0,23.0,41.0,151.0
32,n5f8MaM3,27/05/2024,16:15,ICELAND - BESTA DEILD KARLA,Fylkir,Kopavogur,ROUND 8,2.12,3.8,2.9,1.28,3.35,1.03,9.25,1.16,4.55,1.5,2.42,1.47,2.5,2.07,1.7,,,9.25,14.0,18.5,37.0,11.75,8.0,10.75,21.0,13.0,9.0,11.5,23.0,21.0,14.5,19.0,35.0,200.0
33,tlLYL0tP,27/05/2024,16:30,PERU - LIGA 1,Union Comercio,Cienciano,APERTURA ,2.35,3.25,3.1,1.4,2.75,1.06,10.0,1.25,3.75,1.93,1.93,1.67,2.1,2.3,1.6,1.38,3.0,10.0,10.0,15.0,34.0,8.5,6.0,11.0,23.0,12.0,9.5,13.0,29.0,21.0,19.0,26.0,41.0,201.0
34,A5WOjRit,27/05/2024,19:00,BRAZIL - SERIE B,Coritiba,Operario,ROUND 7,1.83,3.3,4.5,1.53,2.38,1.1,7.0,1.44,2.63,2.4,1.53,2.2,1.62,1.85,2.0,1.21,4.25,7.0,9.5,21.0,51.0,5.5,6.5,17.0,41.0,7.5,9.5,21.0,51.0,15.0,19.0,41.0,81.0,201.0
35,69kU42hT,27/05/2024,19:00,BOLIVIA - DIVISION PROFESIONAL,GV San Jose,SA Bulo Bulo,CLAUSURA ,1.73,3.5,4.0,1.33,3.14,1.01,11.5,1.22,3.5,1.73,2.08,1.6,2.05,1.75,1.95,,,13.0,13.0,23.0,41.0,8.0,7.0,15.0,34.0,9.0,8.5,13.0,34.0,15.0,13.0,23.0,41.0,151.0
36,M720qbTN,27/05/2024,19:00,ARGENTINA - LIGA PROFESIONAL,Union de Santa Fe,Barracas Central,ROUND 3,2.05,3.1,4.0,1.57,2.25,1.11,6.5,1.5,2.5,2.5,1.5,2.1,1.67,2.1,1.78,1.26,3.7,6.5,8.5,19.0,41.0,5.5,6.0,15.0,41.0,8.5,9.5,19.0,51.0,19.0,21.0,41.0,67.0,501.0
37,EPPSCYnm,27/05/2024,20:30,PARAGUAY - PRIMERA DIVISION,General Caballero JLM,2 de Mayo,APERTURA ,3.1,3.1,2.2,1.44,2.63,1.06,10.0,1.33,3.25,2.08,1.73,1.8,1.91,3.1,1.35,1.65,2.2,9.0,7.5,11.0,21.0,9.5,6.0,9.5,19.0,15.0,12.0,15.0,29.0,34.0,26.0,34.0,51.0,251.0
38,Ig25kHe6,27/05/2024,21:00,BRAZIL - SERIE B,Botafogo SP,Novorizontino,ROUND 7,2.8,3.0,2.63,1.62,2.2,1.13,6.0,1.57,2.25,2.88,1.4,2.25,1.57,2.75,1.43,1.48,2.6,6.0,6.0,11.0,29.0,6.5,6.0,11.0,29.0,12.0,12.0,21.0,41.0,29.0,29.0,41.0,81.0,1250.0
39,2uy0atGj,27/05/2024,21:00,BOLIVIA - DIVISION PROFESIONAL,Royal Pari,Independiente,CLAUSURA ,1.7,4.0,4.0,1.33,3.25,1.04,13.0,1.25,3.75,1.75,2.05,1.8,1.91,1.7,2.1,1.23,4.0,13.0,13.0,23.0,41.0,7.5,8.0,13.0,34.0,8.5,8.5,17.0,34.0,13.0,13.0,23.0,51.0,251.0
40,jNQN0abb,27/05/2024,21:00,ARGENTINA - LIGA PROFESIONAL,Atl. Tucuman,Platense,ROUND 3,2.1,3.0,4.2,1.62,2.2,1.14,5.5,1.57,2.25,2.88,1.4,2.25,1.57,2.08,1.73,1.24,3.9,5.5,8.5,19.0,41.0,5.5,6.0,15.0,41.0,8.5,10.0,21.0,51.0,19.0,21.0,41.0,81.0,201.0
41,f9vMMtf5,27/05/2024,21:00,ECUADOR - LIGA PRO,Libertad,Dep. Cuenca,FIRST STAGE ,2.6,3.1,2.63,1.44,2.63,1.07,9.0,1.33,3.25,2.1,1.7,1.83,1.83,2.6,1.48,1.48,2.6,8.5,8.0,13.0,26.0,8.0,6.0,11.0,23.0,12.0,10.0,15.0,34.0,26.0,23.0,34.0,51.0,251.0
42,UBEGnFuP,27/05/2024,21:30,BRAZIL - SERIE B,Avai,Goias,ROUND 7,2.7,3.1,2.7,1.5,2.5,1.08,8.0,1.36,3.0,2.25,1.62,1.91,1.8,2.68,1.45,1.48,2.6,7.5,7.5,12.0,26.0,7.5,6.0,11.0,23.0,12.0,11.0,15.0,34.0,26.0,23.0,34.0,51.0,351.0
