NÂº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
35,U1N0WP0T,18/09/2024,20:30,PERU - LIGA 1,Cienciano,Sport Huancayo,CLAUSURA ,2.1,3.2,3.5,1.44,2.63,1.07,9.0,1.33,3.25,2.1,1.7,1.8,1.91,2.08,1.73,1.3,3.45,9.0,10.0,17.0,41.0,7.5,6.0,13.0,29.0,10.0,9.0,15.0,41.0,19.0,17.0,29.0,51.0,251.0
36,Me49cTqr,18/09/2024,20:30,USA - MLS,Toronto FC,Columbus Crew,-,3.5,3.8,1.95,1.25,3.75,1.02,19.0,1.14,5.5,1.5,2.5,1.5,2.5,3.3,1.33,1.88,1.98,19.0,11.0,12.0,19.0,15.0,8.0,9.0,13.0,21.0,12.0,12.0,19.0,41.0,23.0,26.0,34.0,101.0
37,vcKjtDdH,18/09/2024,20:30,USA - MLS,New York City,Philadelphia Union,-,1.7,4.2,4.33,1.29,3.5,1.03,17.0,1.17,5.0,1.53,2.4,1.57,2.25,1.7,2.1,1.23,4.0,17.0,17.0,26.0,51.0,10.0,8.5,15.0,29.0,10.0,8.5,13.0,29.0,15.0,12.0,19.0,41.0,126.0
38,dYUosgsB,18/09/2024,20:30,USA - MLS,Atlanta Utd,Inter Miami,-,2.7,3.8,2.38,1.22,4.0,1.01,23.0,1.11,6.5,1.4,2.88,1.36,3.0,2.6,1.48,1.6,2.3,23.0,15.0,17.0,26.0,17.0,8.5,10.0,15.0,19.0,11.0,11.0,19.0,29.0,19.0,19.0,26.0,67.0
39,U3Cs29yR,18/09/2024,20:30,USA - MLS,New England Revolution,CF Montreal,-,1.8,3.8,4.33,1.25,3.75,1.03,17.0,1.14,5.5,1.5,2.5,1.5,2.5,1.78,2.03,1.23,4.0,17.0,17.0,26.0,41.0,11.0,7.5,15.0,29.0,11.0,8.5,11.0,29.0,15.0,13.0,19.0,34.0,101.0
40,6JSXmLkL,18/09/2024,21:00,BOLIVIA - DIVISION PROFESIONAL,The Strongest,Bolivar,CLAUSURA ,2.3,3.25,3.0,1.3,3.4,1.03,15.0,1.18,4.5,1.62,2.25,1.5,2.5,2.3,1.6,1.4,2.85,15.0,13.0,17.0,29.0,11.0,6.5,11.0,21.0,13.0,9.5,11.0,26.0,23.0,17.0,21.0,34.0,101.0
41,rml3A7P9,18/09/2024,21:00,BRAZIL - SERIE B,Amazonas,Operario,ROUND 27,2.1,3.0,4.1,1.67,2.1,1.17,5.0,1.67,2.1,3.1,1.36,2.63,1.44,2.08,1.73,1.25,3.8,5.0,7.5,19.0,51.0,4.75,6.5,17.0,41.0,8.0,11.0,23.0,51.0,19.0,23.0,41.0,101.0,201.0
42,ImJfuXBN,18/09/2024,21:15,USA - MLS,Orlando City,Charlotte,-,1.73,3.9,4.75,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,1.7,2.05,1.7,2.1,1.2,4.4,13.0,15.0,23.0,51.0,8.5,7.5,15.0,34.0,9.0,8.5,15.0,34.0,13.0,13.0,21.0,41.0,151.0
43,hbLA4Hyi,18/09/2024,21:30,BRAZIL - SERIE B,America MG,Paysandu PA,ROUND 27,1.7,3.5,5.5,1.44,2.63,1.07,9.0,1.36,3.0,2.15,1.67,2.0,1.73,1.7,2.1,1.17,5.0,8.0,12.0,26.0,51.0,6.0,6.5,19.0,41.0,7.0,9.0,19.0,51.0,13.0,15.0,34.0,67.0,1250.0
44,4dkaBmA3,18/09/2024,21:30,BRAZIL - SERIE B,Coritiba,Ceara,ROUND 27,2.15,3.1,3.6,1.53,2.38,1.1,7.0,1.44,2.63,2.5,1.5,2.1,1.67,2.15,1.68,1.3,3.45,7.0,8.0,17.0,41.0,6.0,6.5,13.0,34.0,9.0,9.5,19.0,41.0,19.0,21.0,41.0,67.0,201.0
